Title,Creator,Resource Type,Source Category,Topic,Key Themes,External Link,Google Drive Link,Status,Quality / Depth,Audience Level,Access,Rights / Licensing,Language,Duration,Year Produced,Date Added,Date Accessed,Added By,Suggested By,Notes
"Myths of the Hindus and Buddhists","Sister Nivedita, Ananda K. Coomaraswamy","Book","Public / General Audience","Cosmology & Mythology","Ramayana, Krishna, retellings, illustrations",https://archive.org/details/dli.ministry.04598,,"🔍 To Review","Surface","Introductory","Open Archive","Unknown","English",,1913,2026-06-10,2026-06-10,,,"Free public-domain classic retellings with famous illustrations; colonial-era framing — read critically."
"The Difficulty of Being Good: On the Subtle Art of Dharma","Gurcharan Das","Book","Public / General Audience","Ethics & Moral Philosophy","Mahabharata, dharma, moral dilemmas",https://global.oup.com/academic/product/the-difficulty-of-being-good-9780199754410,,"🔍 To Review","Solid","Intermediate","Paid","Unknown","English",,2009,2026-06-10,2026-06-10,,,"Mahābhārata ethics applied to modern life by a thoughtful non-academic — very teachable chapters per character."
"Hindu Ethics: A Philosophical Study","Roy W. Perrett","Book","Academic / Peer-Reviewed","Ethics & Moral Philosophy","karma, dharma, moral theory",https://archive.org/details/hinduethicsphilo0000perr,,"🔍 To Review","Deep","Academic","Open Archive","Unknown","English",,1998,2026-06-10,2026-06-10,,,"Concise analytic-philosophy treatment of classical Hindu ethics; archive.org lending copy linked."
"Hindu Philosophy (Internet Encyclopedia of Philosophy)","Internet Encyclopedia of Philosophy","Website","Academic / Peer-Reviewed","Ethics & Moral Philosophy","dharma, purusharthas, schools of thought",https://iep.utm.edu/hindu-ph/,,"🔍 To Review","Deep","Advanced","Free","Educational use permitted","English",,,2026-06-10,2026-06-10,,,"Free peer-reviewed encyclopedia entry covering dharma and the puruṣārthas — citable and rigorous."
"An Autobiography: The Story of My Experiments with Truth","M.K. Gandhi","Primary Text","Practitioner / Devotional","Ethics & Moral Philosophy","ahimsa, satyagraha, truth, vegetarianism",https://archive.org/details/autobiographyst00gand,,"🔍 To Review","Deep","Intermediate","Open Archive","Unknown","English",,1927,2026-06-10,2026-06-10,,,"Primary source for ahiṃsā and satya in lived practice; free on archive.org."
"The Bhagavad Gita (In Our Time)","BBC Radio 4","Podcast","Public / General Audience","Ethics & Moral Philosophy","Gita, dharma, duty, Krishna and Arjuna",https://podtail.com/podcast/in-our-time-religion/the-bhagavad-gita/,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English","45 min",2011,2026-06-10,2026-06-10,,,"With Jessica Frazier (OCHS), Julius Lipner and Chakravarthi Ram-Prasad — the dharma/duty dilemma, ideal A-Level listening; also on BBC Sounds."
"Addresses at the Parliament of Religions, Chicago 1893","Swami Vivekananda","Primary Text","Practitioner / Devotional","Modern Hinduism & Diaspora","Vivekananda, universalism, Hinduism in the West",https://belurmath.org/swami-vivekananda-speeches-at-the-parliament-of-religions-chicago-1893/,,"🔍 To Review","Reference-Grade","Intermediate","Free","Unknown","English",,1893,2026-06-10,2026-06-10,,,"Full text from Belur Math (Ramakrishna Mission) — the founding document of modern global Hinduism; public domain."
"The Hindu Diaspora: Comparative Patterns","Steven Vertovec","Book","Academic / Peer-Reviewed","Modern Hinduism & Diaspora","diaspora, Britain, Caribbean, identity",https://www.routledge.com/The-Hindu-Diaspora-Comparative-Patterns/Vertovec/p/book/9780415238939,,"🔍 To Review","Deep","Academic","Paid","Unknown","English",,2000,2026-06-10,2026-06-10,,,"Includes a chapter directly on Britain's Hindu communities — core for the UK diaspora angle."
"Hindu Nationalism: A Reader","Christophe Jaffrelot","Book","Academic / Peer-Reviewed","Modern Hinduism & Diaspora","Hindutva, BJP, secularism, identity",https://press.princeton.edu/books/paperback/9780691130989/hindu-nationalism,,"🔍 To Review","Deep","Academic","Paid","Unknown","English",,2007,2026-06-10,2026-06-10,,,"Primary-source excerpts from Hindutva thinkers with scholarly framing; politically sensitive — teach with care and balance."
"BAPS Shri Swaminarayan Mandir, London (Neasden Temple)","BAPS Shri Swaminarayan Mandir London","Website","Practitioner / Devotional","Modern Hinduism & Diaspora","UK Hinduism, temple, Swaminarayan tradition",https://londonmandir.baps.org/,,"🔍 To Review","Surface","Introductory","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"Britain's landmark mandir; site includes visitor and education information — obvious school-visit pairing."
"Religion in India: Tolerance and Segregation","Pew Research Center","Website","Public / General Audience","Modern Hinduism & Diaspora","survey data, identity, nationalism, tolerance",https://www.pewresearch.org/religion/2021/06/29/religion-in-india-tolerance-and-segregation/,,"🔍 To Review","Deep","Intermediate","Free","Educational use permitted","English",,2021,2026-06-10,2026-06-10,,,"30,000-respondent survey of Indian religious life — free rigorous data for essays and statistics work."
"The Penguin History of Early India: From the Origins to AD 1300","Romila Thapar","Book","Academic / Peer-Reviewed","History of Hinduism","early India, dynasties, social history",https://archive.org/details/HistoryOfEarlyIndiaFromTheOriginsToAD1300Thapar,,"🔍 To Review","Reference-Grade","Academic","Open Archive","Unknown","English",,2002,2026-06-10,2026-06-10,,,"The leading historian of early India; her secular historiography is contested by Hindutva critics — know both sides."
"The Wonder That Was India","A.L. Basham","Book","Academic / Peer-Reviewed","History of Hinduism","ancient India, culture, survey",https://archive.org/details/wonderthatwasind0000bash,,"🔍 To Review","Solid","Intermediate","Open Archive","Unknown","English",,1954,2026-06-10,2026-06-10,,,"Beloved classic survey, free on archive.org; scholarship now dated in places — use alongside Thapar."
"Harappa.com — The Ancient Indus Civilization","Harappa.com","Website","Academic / Peer-Reviewed","History of Hinduism","Indus Valley, archaeology, origins",https://www.harappa.com/,,"🔍 To Review","Deep","Intermediate","Free","Unknown","English",,,2026-06-10,2026-06-10,,,"Scholar-written essays and slideshows on the Indus civilisation, online since 1995 — feeds the origins controversy debate."
"The Camphor Flame: Popular Hinduism and Society in India","C.J. Fuller","Book","Academic / Peer-Reviewed","Ritual & Practice","popular Hinduism, worship, anthropology",https://press.princeton.edu/books/paperback/9780691120485/the-camphor-flame,,"🔍 To Review","Reference-Grade","Academic","Paid","Unknown","English",,2004,2026-06-10,2026-06-10,,,"The standard anthropological study of lived popular Hinduism — temples, possession, festivals, priests."
"Darśan: Seeing the Divine Image in India","Diana Eck","Book","Academic / Peer-Reviewed","Ritual & Practice","darshan, images, worship, visual culture",https://cup.columbia.edu/book/darsan/9780231112659/,,"🔍 To Review","Deep","Intermediate","Paid","Unknown","English",,1998,2026-06-10,2026-06-10,,,"Short, teachable classic on seeing and being seen by the deity; Eck already in People."
"Diwali Objects Teacher Resource (Reading Museum)","Reading Museum","Course/Lesson","Student / Educational","Ritual & Practice","Diwali, festivals, objects, lesson plans",https://www.readingmuseum.org.uk/sites/default/files/downloads/Reading%20Museum%20-%20Diwali%20Objects%20Teacher%20Resource%20and%20Worksheets.pdf,,"🔍 To Review","Surface","Introductory","Free","Educational use permitted","English",,,2026-06-10,2026-06-10,,,"UK museum lesson pack with worksheets — pitched young; adapt upward for 16–18 or use for outreach."
"Hindu temples (Smarthistory)","Smarthistory","Website","Student / Educational","Ritual & Practice","temple architecture, ritual space, darshan",https://smarthistory.org/hindu-temples/,,"🔍 To Review","Surface","Introductory","Free","Educational use permitted","English",,,2026-06-10,2026-06-10,,,"Free illustrated introduction to temple form and function."
"Speaking of Śiva","A.K. Ramanujan","Primary Text","Academic / Peer-Reviewed","Deity & Devotional Traditions","bhakti, Virashaiva, vacanas, Kannada poetry",https://archive.org/stream/ePwy_speaking-of-shiva-translation-by-a-k-ramanujan-english-penguin-books-ltd-england/Speaking%20Of%20Shiva%20Translation%20By%20A%20K%20Ramanujan%20English%20-%20Penguin%20Books%20Ltd%2C%20England_djvu.txt,,"🔍 To Review","Reference-Grade","Advanced","Open Archive","Unknown","English",,1973,2026-06-10,2026-06-10,,,"Luminous translations of 12th-c. Kannada bhakti poets incl. Mahādēviyakka — bhakti as protest; full text on archive.org."
"A Storm of Songs: India and the Idea of the Bhakti Movement","John Stratton Hawley","Book","Academic / Peer-Reviewed","Deity & Devotional Traditions","bhakti movement, historiography, poet-saints",https://www.hup.harvard.edu/books/9780674187467,,"🔍 To Review","Deep","Academic","Paid","Unknown","English",,2015,2026-06-10,2026-06-10,,,"Argues the unified 'bhakti movement' is a 20th-c. construction — sophisticated counterpoint for advanced students."
"Bhagavad-gītā As It Is (Vedabase)","A.C. Bhaktivedanta Swami Prabhupada","Primary Text","Practitioner / Devotional","Deity & Devotional Traditions","Krishna, bhakti, Gaudiya Vaishnava commentary",https://vedabase.io/en/library/bg/,,"🔍 To Review","Solid","Intermediate","Free","Unknown","English",,1972,2026-06-10,2026-06-10,,,"Free searchable Gītā with Sanskrit, word-for-word gloss and devotional purports; interpretation reflects one tradition (ISKCON) — compare with academic translations."
"Hindu deities (Smarthistory)","Smarthistory","Website","Student / Educational","Deity & Devotional Traditions","Vishnu, Shiva, Goddess, iconography",https://smarthistory.org/hindu-deities/,,"🔍 To Review","Surface","Introductory","Free","Educational use permitted","English",,,2026-06-10,2026-06-10,,,"Clear free introduction to the major deities through art."
"Indian Philosophy: A Very Short Introduction","Sue Hamilton","Book","Academic / Peer-Reviewed","Hindu Philosophy & Darshanas","six schools, karma, knowledge, reality",https://global.oup.com/academic/product/indian-philosophy-a-very-short-introduction-9780192853745,,"🔍 To Review","Solid","Introductory","Paid","Unknown","English",,2001,2026-06-10,2026-06-10,,,"Compact expert overview structured around the classical schools — right pitch for A-Level extension."
"A Source Book in Indian Philosophy","Sarvepalli Radhakrishnan, Charles A. Moore","Primary Text","Academic / Peer-Reviewed","Hindu Philosophy & Darshanas","Vedas, darshanas, Vedanta, primary texts",https://archive.org/details/sourcebookinindi00radh,,"🔍 To Review","Reference-Grade","Academic","Open Archive","Unknown","English",,1957,2026-06-10,2026-06-10,,,"3,000 years of primary texts in one volume; Radhakrishnan's neo-Vedantin framing colours the selection — note when teaching."
"Classical Indian Philosophy (History of Philosophy Without Any Gaps)","Peter Adamson, Jonardon Ganeri","Podcast","Academic / Peer-Reviewed","Hindu Philosophy & Darshanas","darshanas, Upanishads, epistemology, debate",https://historyofphilosophy.net/series/classical-indian-philosophy,,"🔍 To Review","Deep","Intermediate","Free","Educational use permitted","English",,2015,2026-06-10,2026-06-10,,,"60+ free episodes by two leading scholars — the best free deep resource on this strand; also an OUP book."
"Upaniṣads","Patrick Olivelle","Primary Text","Academic / Peer-Reviewed","Vedas & Sacred Texts","Upanishads, atman, Brahman, translation",https://global.oup.com/academic/product/upanisads-9780199540259,,"🔍 To Review","Reference-Grade","Advanced","Paid","Unknown","English",,1996,2026-06-10,2026-06-10,,,"The standard scholarly translation (Oxford World's Classics); Olivelle already in People."
"The Rigveda (3 vols)","Stephanie W. Jamison, Joel P. Brereton","Primary Text","Academic / Peer-Reviewed","Vedas & Sacred Texts","Rigveda, complete translation, Vedic religion",https://global.oup.com/academic/product/the-rigveda-9780190685003,,"🔍 To Review","Reference-Grade","Academic","Paid","Unknown","English",,2014,2026-06-10,2026-06-10,,,"First complete scholarly English translation in a century — the reference; Doniger's anthology (already in Hive) is the classroom entry."
"The Bhagavad Gita (Easwaran translation)","Eknath Easwaran","Primary Text","Practitioner / Devotional","Vedas & Sacred Texts","Gita, translation, introduction",https://www.biblio.com/9781586380199,,"🔍 To Review","Solid","Introductory","Paid","Unknown","English",,2007,2026-06-10,2026-06-10,,,"The most readable Gītā for students, with a 55-page contextual introduction; reverent insider translation, not text-critical."
"The Upanishads (In Our Time)","BBC Radio 4","Podcast","Public / General Audience","Vedas & Sacred Texts","Upanishads, atman, Brahman",http://www.listenersguide.org.uk/bbc/podcast/episode/?p=p01gvqlg&e=b01nq7ct,,"🔍 To Review","Solid","Intermediate","Free","Educational use permitted","English","45 min",2012,2026-06-10,2026-06-10,,,"With Jessica Frazier (OCHS), Chakravarthi Ram-Prasad and Simon Brodbeck; also on BBC Sounds."
"Annihilation of Caste","B.R. Ambedkar","Primary Text","Public / General Audience","Dharma, Varna, Caste & Social Ethics","caste critique, Dalit, reform, 1936",https://ccnmtl.columbia.edu/projects/mmt/ambedkar/web/readings/aoc_print_2004.pdf,,"🔍 To Review","Reference-Grade","Advanced","Free","Unknown","English",,1936,2026-06-10,2026-06-10,,,"Full text via Columbia — the essential primary source for the caste-critique side of this strand; Ambedkar already in People."
