Name,Category,Perspective,Specialism,Institution / Affiliation,Notable Works,X/Twitter Handle,Website,Credibility Notes,Added By
"Steven Vertovec","Scholar / Academic","Academic / Critical","Migration, diaspora, transnationalism","Max Planck Institute MMG, Göttingen","The Hindu Diaspora; Superdiversity",,https://www.mmg.mpg.de,"Leading migration scholar; strong UK material.",
"Christophe Jaffrelot","Scholar / Academic","Academic / Critical","Hindu nationalism, Indian politics","Sciences Po / King's College London","Hindu Nationalism: A Reader; Modi's India",,,"The leading academic analyst of Hindutva; critical stance — read alongside primary Hindutva texts he anthologises.",
"BAPS Shri Swaminarayan Mandir London","Organisation","Traditional / Practitioner","Swaminarayan Hinduism in the UK","BAPS","Neasden Temple; education programmes",,https://londonmandir.baps.org,"Landmark UK Hindu institution; single-sampradāya perspective.",
"Pew Research Center","Organisation","Public / Accessible","Survey research on religion","Pew Charitable Trusts","Religion in India (2021)",,https://www.pewresearch.org,"Methodologically rigorous, nonpartisan survey data.",
"Romila Thapar","Scholar / Academic","Academic / Critical","Early Indian history, historiography","Jawaharlal Nehru University (emerita)","The Penguin History of Early India; Somanatha",,,"Preeminent historian of early India; her secular school of historiography is a lightning rod in Hindutva debates — know both the scholarship and the critiques.",
"A.L. Basham","Scholar / Academic","Academic / Critical","Ancient Indian history and culture","SOAS / ANU (d. 1986)","The Wonder That Was India",,,"Classic mid-20th-c. authority; superseded in detail but still a wonderful read.",
"Harappa.com","Organisation","Academic / Critical","Indus civilisation research communication","Independent (since 1995)","harappa.com essays and slideshows",,https://www.harappa.com,"Publishes leading Indus archaeologists; reliable.",
"C.J. Fuller","Scholar / Academic","Academic / Critical","Anthropology of popular Hinduism","London School of Economics (emeritus)","The Camphor Flame; The Renewal of the Priesthood",,,"Standard ethnographic authority on lived Hinduism.",
"Reading Museum","Organisation","Public / Accessible","Museum education (UK)","Reading Borough Council","Diwali teaching resources",,https://www.readingmuseum.org.uk,"UK museum education service; primary-school pitch.",
"A.K. Ramanujan","Scholar / Academic","Academic / Critical","Translation, bhakti poetry, folklore","University of Chicago (d. 1993)","Speaking of Śiva; The Interior Landscape; Three Hundred Rāmāyaṇas",,,"Master translator; his 'Three Hundred Rāmāyaṇas' essay is itself a famous controversy worth teaching.",
"John Stratton Hawley","Scholar / Academic","Academic / Critical","Bhakti traditions, north Indian devotion","Barnard College, Columbia","A Storm of Songs; Sur's Ocean",,,"Leading bhakti scholar.",
"A.C. Bhaktivedanta Swami Prabhupada","Author","Traditional / Practitioner","Gaudiya Vaishnava theology, Gita commentary","ISKCON founder (d. 1977)","Bhagavad-gītā As It Is; Śrīmad-Bhāgavatam (trans.)",,https://vedabase.io,"Globally influential devotional translator; strongly tradition-specific interpretations.",
"Sue Hamilton","Scholar / Academic","Academic / Critical","Indian philosophy, early Buddhism","King's College London","Indian Philosophy: A Very Short Introduction",,,"Reliable concise academic guide.",
"Sarvepalli Radhakrishnan","Scholar / Academic","Reform / Neo-Hindu","Vedanta, comparative philosophy","Oxford; President of India (d. 1975)","A Source Book in Indian Philosophy; Indian Philosophy (2 vols)",,,"Scholar-statesman; his neo-Vedantin universalism shaped how the West reads Hindu philosophy — influential and contestable.",
"Charles A. Moore","Scholar / Academic","Academic / Critical","Comparative philosophy","University of Hawaii (d. 1967)","A Source Book in Indian Philosophy (co-ed.)",,,"Co-founder of East-West philosophers' conferences.",
"Peter Adamson","Scholar / Academic","Academic / Critical","History of philosophy communication","LMU Munich / KCL","History of Philosophy Without Any Gaps",,https://historyofphilosophy.net,"Top-tier scholarly podcasting.",
"Jonardon Ganeri","Scholar / Academic","Academic / Critical","Indian philosophy, mind, epistemology","University of Toronto","Classical Indian Philosophy (with Adamson); The Lost Age of Reason",,,"One of the foremost philosophers working on Indian traditions today.",
"Stephanie W. Jamison","Scholar / Academic","Academic / Critical","Vedic Sanskrit, Indo-European linguistics","UCLA","The Rigveda (trans. with Brereton)",,,"Co-translator of the definitive Rigveda.",
"Joel P. Brereton","Scholar / Academic","Academic / Critical","Vedic religion and literature","University of Texas at Austin","The Rigveda (trans. with Jamison)",,,"Co-translator of the definitive Rigveda.",
"Eknath Easwaran","Author","Traditional / Practitioner","Meditation, Indian classics in translation","Blue Mountain Center of Meditation (d. 1999)","The Bhagavad Gita; The Upanishads (trans.)",,https://www.bmcm.org,"The most widely read devotional translator in English; reverent rather than text-critical.",
